case_date,exchange,symbol,profit_pct,market_cap,deposit_amount,max_premium_pct,hedge_type,network_chain,withdrawal_open,listing_type,entry_method,exit_method,funding_rate,premium_range,dex_used,chain_used,deposit_krw_exact,notes_manual,status
2025-11-26,업비트,PLUME,17.94,,50억,,spot_futures,,,,현선,CEX,,,,,50억,"25.11.26 따리 복기
#업비트 PLUME 따리 (+17.94%)

*베스트 플레이
  -바로 현선잡기 (5퍼 이하에서)
  -론 플레이 (피카 플레이에선 배제)
  -나눠서 팔고 후펌까지 골고루 먹기

*Pika's 플레이
  -현선이 너무 심해 (30%가량) 쌩매수
  -바이낸스 핫 확인하고 물타기 or 불타기 하면서 평단가 형성
  -업빗 입금액 50억 언더였음
  -GOOD: 쌩매수 할 때 사이즈 조절한 것 (2.3만불 가량만 트라이함)

*현선이 너무 심할 때는 사이즈를 줄이고 천천히 차트를 보며 쌩매수 하는게 최선인 것 같음.",PARTIAL
2025-11-26,빗썸,XION,50.86,,,10.0,spot_futures,,,상장,현선,매도/CEX,,0-10.0%,,,,"25.11.26 따리 복기
#빗썸 XION 따리 (+50.86%)

*베스트 플레이
  -현선 낮을 때 잡기
  -차트보고 매수하면서 롱

*Pika's 플레이
  -빗썸 상장에 현선 10%는 너무 과하다 생각하여 1차적으로 쌩매수
  -차트 지켜보며 임시 지지선 만들어 해당 선 아래로 올 때마다 추가 매집
  -빗썸 + 생따리는 리스크가 너무 크기 때문에 사이즈 조정하여 플레이
  -CEX 고점에 털지 않고 빗썸에서 약 1-2분간 천천히 나눠 매도
  -GOOD: CEX 고점 기회가 꽤나 있었으나 흥할만 하다는 판단으로 전부 빗썸에 가져감
  -GOOD: 지지선 위에서 매집할 때는 소액 정도만 추가 매집하고 뇌동하여 사이즈 급격히 늘리지 않음",PARTIAL
2025-12-03,빗썸,BOB,31.18,,,,spot_futures,,,상장,DEX,매도/CEX,,,unknown,,,"25.12.03 따리 복기
#빗썸 BOB 따리(+31.18%)

*베스트 플레이
  -공지보고 DEX 긁기
  -근래 후펌 많이 나오는 추세임으로 매도 타이밍 더 기다렸다가 매도하기 (risky!)

*Pika's 플레이
  -공지보고 DEX 긁기 (소액 먼저 긁음)
  -현선 없는 것 보고 절반은 현선 쌌다가 가격 상승세보고 헷징 바로 풀어버림
  -불타기하면서 유동성 수치로 가격 변화추이 감시
  -흥따리라고 생각되었을 때 공격적으로 추가 매수하여 0.015선의 평단을 0.0173까지 올려서 쌩으로 준비
  -한 번에 팔지 않고 3-4차례 나누어 매도 (but, 2분 이내에 모두 정리)
  -시총 작고 상승세 가파른 것 보고 바로 소액 롱, 상장 후 후펌 즈음에 익절

*잘한 점 / 못한 점
  -GOO",PARTIAL
2025-12-03,빗썸,TRAC,27.61,,,,,,,상장,DEX,매도/CEX,,,unknown,,,"25.12.03 따리 복기
#빗썸 TRAC 따리 (+27.61%)
250M정도, 입금액 기준가 변경 후 15억, 연기X

*베스트 플레이
  -공지보고 DEX 긁기
  -좀 더 홀딩하다가 매도 (BOB와 동일)

*Pika's 플레이
  -시총이 제법 있었으나 계속 오름세인 것 보고 덱스스크리너 통해 음봉 있을 때만 추가적으로 매수하는 전략 선택
  -초반엔 가격이 계속 상승하여 어려웠으나 0.7 아래까지 매수해도 되겠다고 생각, 과감하게 원하는 사이즈까지 키움
  -BOB 때보다 천천히 추세를 보면서 매도했고 원하는 가격이 왔을 때 마지막 정리하며 따리 마무리

*잘한 점 / 못한 점
  -GOOD: 과감하게 플레이하되 기준가를 정해놓고 그 아래로만 긁었음
  -GOOD: 현재 장세 + 빗썸의 최근 상장 ",PARTIAL
2025-12-06,빗썸,SAPIEN,5.62,,,3.0,spot_futures,,,,현선,매도/CEX,,0-3.0%,,,,"25.12.06 따리 복기
#빗썸 SAPIEN 따리 (+5.62%)

*베스트 플레이
  -2% 초중반 (1시 이후)에 현선잡기?
  -0.175부근에서 지속적으로 쌩매수하기 (결과론적)
  -CEX 고점에서 털기 (망따리 예상)
  -롱 함께 쳐서 펀비 + 사이즈 올리기

*Pika's 플레이
  -펀비 2번 + 현선 3%대 확인하고 관망하기로 결정
  -1시 펀비탐 이후 현선 2% 언더에 싸려고 했으나 오지 않아 잡지 못함
  -저점에서 1차 매수, 이후 임시 지지선 아래에서 지속적으로 추가 쌩매수
  -전부 빗썸으로 들고가 나눠서 분할 매도, 수익 실현

*잘한 것 / 못한 것
  -GOOD: 초반에 무지성으로 잡지 않고 관망하는 포지션으로 가격 및 현선 관찰
  -GOOD: CEX 고점에서 팔 수도 ",PARTIAL
2025-12-07,업빗썸,MIRA,13.05,,,15.0,spot_futures,BSC,,상장,DEX,CEX,,0-15.0%,unknown,BSC,,"25. 9. 26 따리 복기

#업빗썸 MIRA 따리 (+13.05%)
*베스트 플레이
  -알파 상장 직후 긁기
  -바이낸스 현선잡기 (7%대에도 잡을 수 있었음)

*Pika's 플레이
  -BSC에서 일부 DEX 플레이
  -컨트랙 브릿지 준비
  -바이낸스 현선 15%이하에서 1차 매집, 10%이하에서 2차 매집 후 20%이상에서 정리

*잘한 것 / 못한 것
  -GOOD: 온전히 DEX 플레이할 상황이 안되어 최대한 가능한 플레이에 집중하여 리스크 관리 하였음
  -GOOD: MIRA 매집에 실패했다는 것을 인지하고 바로 바이낸스 현선 준비하여 실행
  -BAD: 소량이라도 과감하게 매집하지 않았음
  -BAD: 컨트랙 브릿지 숙련도가 약간 부족했음

*사이즈 키운 현선 플레이 지속할 것
*컨트",PARTIAL
2024-12-11,빗썸,MOVE,,,,,spot_futures,ETH,,TGE,DEX,매도/CEX,,,unknown,ETH,,"작년 12월 첫 TGE 따리 복기입니다.

24.12.11 복기
#MOVE 따리
-DEX 에서 긁어올 때 슬리피지 3%정도 발생했음
   1)슬리피지 감안하기 vs 김프 조금 손해봐도 슬리피지 최소화하기
   2)MOVE의 경우엔 전자가 옳았던 것 같다.
   3)ETH로 매수할 때 훨씬 유동성이 원활하다. (나중에 채워넣더라도 시간 절약됨)
-헷징할 때 발생한 현선갭
   1)헷징은 양펀비라면 조금씩 꾸준히 헷징하는게 물량 모으기 좋다.
   2)현재 봇은 전량매도밖에 못하므로 봇 수정 전까지는 1만불 이하여야 하는듯
-펀딩비
   1)게아오 펀딩비만 80불이 나갔다. 펀딩비 확인 먼저 하고 헷징했어야함

결론 : 
봇 작업 방향할 때 현선갭에 대한 코드를 더 명확히 해야함
api로 헷징 긁은 후 바로 원",PARTIAL
2025-12-09,빗썸,ALLO,-2.03,25M,약 40억,0.5,spot_futures,,,,현선,CEX,,0-0.5%,,,약 40억,"25.12.09 따리 복기
#빗썸 ALLO 따리 (-2.03%)
시총 25M, 입금액 약 40억

*베스트 플레이
  -론, 마진 플레이 (피카 플레이에서는 제외)
  -펀비타임 1회 지난 후 현선 잡기
  -사이즈 줄여서 플레이하며 경험치 쌓기

*Pika's 플레이
  -현선 0.5%정도로 형성되어 있어 펀비 맞을 각오로 13시 이전에 현선 잡아버림 (평균 현선 0.6% 가량에 입장)
  -현선갭이 늘지 않고 오히려 더 붙는 추세 + 낮은 시총임에도 오르지 않고 계속 떨어지는 추세여서 추가 진입 X
  -장 상황도 빗썸 테더 일 거래액 1,000억 겨우 넘을 정도로 좋지 않아 1차 보따리 사이즈로만 플레이
  -급작스럽게 봇 이슈로 봇으로는 헷징 못푸는 상황이 생김
  -더 내린다에 베팅하고 현물 먼저 ",PARTIAL
2025-12-15,업빗썸,WET,0.13,,,,futures,,,상장,DEX,CEX,,,unknown,,,"25.12.15 따리 복기
#업빗썸 WET 따리 (+0.13%)

*베스트 플레이
  -바빗현물, 바낸선물 6%대에 헷징하여 현선갭만 먹고 다음 펀비타임 지켜보거나 정리하기
  -상장 공지 직후 0.25 DEX 쌩매수 (risk 커서 지양하는 것이 좋을듯)
  -따리 투심 활용하여 롱홀딩, 0.28쯤 정리

*Pika's 플레이
  -0.19 홀딩하던 롱 두고 추가 매집, 여기서 부분 수익 실현을 못해 손절로 마무리
  -DEX기준 0.3 못 뚫으면 무조건 맞고 떨어질 것으로 생각했으나... 업빗썸 상장에 기대 걸고 현물 익절 못하고 그대로 업빗썸 입금
  -봐야하는 채널이 빗썸, 업비트, 바이빗 선물창 3개이다보니 노이즈가 많았고 집중하지 못했음. 대부분 손절 최소화로 겨우 마무리.

*잘한 것 / 못한 ",PARTIAL
2025-12-16,빗썸,EDEN,-1.68,12M,,,spot_futures,,True,,DEX,CEX,,,unknown,,,"25.12.16 따리 복기
#빗썸 EDEN 따리 (-1.68%)

*베스트 플레이
  -장 상황 고려하여 참여 안하기
  -연장 공지 뜨고 급락했을 때 쌩매수
  -급락지점까지 기다렸다가 분할 쌩매수
  -초반에 바이낸스 현선 없을 때 잡고 현선 찼을 때 바로 털고 나가기

*Pika's 플레이
  -시총 12M, 바낸 핫이 매우 적어 5천불 매수 후 바로 출금
  -DEX 가격 상태 보다가 0.9 언저리에서 지지하며 버티는 것 보고 0.9 아래에서 계속 매수
  -최대한 물타면서 평단 낮췄으나 빗썸 30분 연장 공지에 바로 바닥 뚫고 급락... 일부 추가 매수 했으나 이미 비중이 많이 커져있는 상태였기에 평단에 큰 영향 없었음
  -빗썸 연장에도 불구하고 입금은 더 늘지 않고 DEX가격만 낮게 형성되어 그",PARTIAL
