symbol,exchange,date,listing_type,market_cap_usd,top_exchange,top_exchange_tier,deposit_krw,volume_5m_krw,volume_1m_krw,turnover_ratio,max_premium_pct,premium_at_5m_pct,supply_label,hedge_type,dex_liquidity_usd,hot_wallet_usd,network_chain,network_speed_min,withdrawal_open,airdrop_claim_rate,prev_listing_result,market_condition,result_label,result_notes
MANTA,Bithumb,2024-01-18,TGE,,,,,,,,1900,,constrained,none,,,Manta L2,,false,,,bull,대흥따리,TGE직후30분거래개시 네트워크혼잡 입금인30명 해외가5000원 빗썸고점10만원
AVAIL,Bithumb,2024-07-24,TGE,,,,,7500000000,,20.3,1067,,constrained,cex_futures,0,,Avail,,false,,,neutral,대흥따리,DEX없음 OTC따리 입금액3.7억 해외가300원 빗썸고점3500원
PCI,Bithumb,2024-07-22,직상장,,Bitget,,9600000000,,,0.94,35,,smooth,none,,,,,false,,,neutral,대흥따리,김치코인재상장 헷징불가 매매접근 빗썸최고거래소
MVL,Bithumb,2024-11-12,직상장,95000000,,,1700000000,9200000000,,5.41,400,,constrained,none,,,,,false,,,bull,대흥따리,김치코인 헷징불가 순매수180억중17억따리물량
TOKAMAK,Bithumb,2024-11-12,직상장,55000000,,,3800000000,9500000000,,2.5,8,,smooth,cex_futures,,,,,true,,,bull,흥따리,MVL동일날상장 업비트상승추세호재 기대감높아입금많음
ME,Bithumb,2024-12-11,TGE,,,,,23300000000,,3.33,38,,smooth,cex_futures,,,Solana,,true,,,bull,대흥따리,업비트보다1시간빠른상장 초불장 DEX빗썸현현갭가능
MOCA,Bithumb,2024-12-16,직상장,,,,,14000000000,,5.6,100,,smooth,cex_futures,,,,,true,,,bull,대흥따리,업비트기대감빈집현상 입금25억 고점2800원 2배이상
NXPC,Bithumb,2025-05-15,TGE,,,,,9100000000,3300000000,1.25,10,,smooth,cex_futures,,,,,true,,,neutral,흥따리,업비트기대감빗썸따리 넥슨게임코인 상장열기식어감
ERA,Bithumb,2025-07-17,TGE,,,,,9500000000,4000000000,3.17,,,constrained,cex_futures,,,BSC/ETH,,true,,,neutral,흥따리,새벽1시상장 TGE직후불확실 입금적었으나거래량잘나옴
ES,Bithumb,2025-07-16,TGE,,,,,12000000000,5000000000,4.0,100,,constrained,none,,,Eclipse/SOL,,false,,,neutral,대흥따리,업비트미지원빗썸만상장 DEX유동성부족 최소입금20억뉴노말
WLFI,Bithumb,2025-09-01,TGE,,,,,8300000000,3700000000,0.46,20,,smooth,cex_futures,,,Ethereum,,true,,,neutral,흥따리,트럼프디파이코인 입금액대비거래량낮음 후따리빗썸이좋음
ERA,Upbit,2025-07-17,TGE,,Binance,,20500000000,91000000000,35500000000,4.44,50,,constrained,cex_futures,,,BSC/ETH,,true,,,neutral,대흥따리,업비트ERA 입금205억 5분910억 고점50%이상 새벽1시상장
MOVE,Upbit,2024-12-10,TGE,,,,40000000000,180000000000,,4.5,20,,constrained,none,,,Move,,false,,,bull,대흥따리,전세계동시TGE 게이트만출금 2000원시작4200원고점 불장정점 2시간거래량2조
ME,Upbit,2024-12-11,TGE,,,,100000000000,500000000000,,5.0,90,,smooth,none,,,Solana,,false,,,bull,대흥따리,MOVE다음날TGE 입금1000억 김프90% 불장절정 매도주문오류10:40거래시작
VANA,Upbit,2024-12-17,TGE,782000000,Binance,,107000000000,220000000000,,2.06,,,smooth,cex_futures,,,VANA,,true,,,bull,망따리,선반영심함 바이낸스초광속출금22시 입금1070억인데도역프 마켓메이커개입
SONIC,Upbit,2025-01-08,TGE,,OKX,,95000000000,200000000000,,2.11,,,smooth,cex_futures,,,Solana,,true,,,bear,망따리,VANA와유사행보 변수대잔치 업비트입출공지연기 바이빗펀딩피변경 MM따리꾼노림
ANIME,Upbit,2025-01-24,TGE,509000000,Binance,,100000000000,142000000000,,1.42,4,0,smooth,cex_futures,,,,,,,,bull,망따리,피뢰침김프우하향 따리꾼참여높은데선반영심함 초기유통55%과다
BERA,Upbit,2025-02-06,TGE,1074000000,Binance,,38000000000,56000000000,,1.47,5,,constrained,cex_futures,,,,,,,,bull,망따리,매우짧은피뢰침20초 전세계상장후우하향 거래량역대최저
LAYER,Upbit,2025-02-11,TGE,273000000,Binance,,43000000000,75000000000,,1.74,22,15,constrained,cex_futures,,,Solana,,true,,,bull,보통,현선심해1분봉역프이후펌핑 김프약함 BNBHolder에어드랍 입금액줄어듬
NXPC,Upbit,2025-05-15,TGE,169000000,Binance,,70000000000,61000000000,25000000000,0.87,10,5,smooth,cex_futures,,,Avalanche,,true,,,neutral,보통,넥슨메이플게임코인 따리꾼관심높고리테일부족 숏맞았던상장
