symbol,exchange,date,listing_type,deposit_krw,volume_5m_krw,turnover_ratio,max_premium_pct,supply_label,hedge_type,market_condition,result_label,result_notes
OKX,Upbit,2023-05-19,TGE,,,,,,cex_futures,neutral,대흥따리,"[비트코인 피자데이 거래소별 이벤트 모음 - 업비트, 코인원, OKX] https://blog.naver.com/mp2015/223104794115 <업비트> - 작년처럼 0.001BTC 바로출금으로 먼저 보내는사람 선착순으로 100% 지급 - 작년 기준으로 땡 하고 바로 도전하면 거의 성공 가능했음 - 대략 3.5만원어치 비트코인(당첨여부에 상관없이 다시"
NAODA,Bithumb,2023-07-23,,,,,,,cex_futures,neutral,망따리,"🪓 나만의 1계정 채굴기 - NAODA 편 ➢ 리스크 : 📉 ➢ 귀차니즘 : 📈 ➢ 기댓값 : 📉 NAODA는 폴리곤 체인 위에서 구동되는 게임파이 플랫폼 지망생입니다. 게임도 개발하고 있다고 해요. 언제 나올진 몰?루 챗굴, 퀴즈 등 여러 가지 미션을 클리어해서 POP를 모을 수 있으며, 이는 나중에 플랫폼에 대한 기여로 인정된다 고 말합니다. 모체인 F"
FLIPSTER,Bithumb,2025-02-28,,,,,,,cex_futures,neutral,흥따리,"😘 LAYER원상시 나왔던 먹을거리 말도많고 탈도많았던 LAYER원상, 상장딜레이로 할수있는 플레이가 많았습니다 0.5%정도의 거래소간 갭도 몇번 나왔었지만 개인적으로 제일 안정적인 플레이는 BINANCE롱<->FLIPSTER숏 이었고 EV가 제일높았던 플레이는 FLIPSTER숏<->Hyperliquid롱으로 펀딩피를 털어먹는게 괜찮았다고 생각합니다 🥹 🍌"
BASE,Bithumb,2025-06-03,,,,,6.0,,cex_futures,neutral,,오늘있었던 ZRC랜딩법 브릿지및 랜딩루트 1.USDC담보로 이더 aave에서 랜딩 2. bridge : https://app.rhino.fi/bridge?chainIn=BASE&chainOut=ZIRCUIT&token=ETH&mode=pay&amount=10&tokenOut=ETH 3. eth->weth는 https://zuit.xyz/ 4. 랜딩댑 : h
ERC,Upbit,2025-06-29,TGE,,,,,,cex_futures,neutral,망따리,"어제 디젠가이님과 잠시 대화하며, 현재 크립토의 상황에 대해 다시 생각해보게 되었습니다. 긴 글이 될 것 같지만, 끝까지 읽어주시면 감사하겠습니다. 지금 시장 참여자들은 바이낸스, 업비트, 카이토를 통해 쏟아지는, 디젠가이님의 표현을 빌리자면 소위 “신규 TGE 토큰 컨베이어벨트 공장”에 깊은 피로감을 느끼고 있는 상황입니다. 우리가 바라는 알트장의 중심 "
BSC,Upbit,2025-08-05,,,,,,,cex_futures,neutral,보통,"타운즈 상장시 할 수 있는 방법을 몇가지 소개함 1.CEX에 따리 업,빗썸은 상장공지를 안했지만 보통 바이낸스가 먼저 상장 할 가능성이 매우 높음(2025년 8월 5일 14:30(UTC)) 저번에 칼데라 복기하면서 얻은 정보로 상황이 된다면 바이낸스에 먼저 따리를 보내는 시도해 볼 예정 그리고 바이낸스라 BSC를 지원할 예정일건데 BSC에서 긁어서 가져다가"
WLFI,Upbit,2025-09-02,,,,,,,cex_futures,neutral,망따리,WLFI 복기를 하자면 1.EVM->SOL 갭 같은 가격을 유지하다가 서로 갭이 나더니 10~20퍼씩 차이가 나기 시작. 계속 생각은 했지만 브릿지를 못 찾아서 실패 찾아봐도 잘 안나오더라.. 2.CEX 상장따리 상장 시간 체크 후 덱스에서 긁어서 갖다 던지기만 했어도 상당한 이득을 봤을 듯. MEXC는 상장 후 약 20퍼 갭을 줬고 추후에도 계속 기회를 
FLUID,Upbit,2025-09-29,,,,,,,cex_futures,neutral,대흥따리,FLUID 기출 생각(FLUID도 후펌줬음)나서 바로 업비트 보냄 맛드몽현 업비트 대흥따리로 시작하면 아발란체 dex가가 못따라와서 아발란체에서 호다닥 긁어서 브릿지보내서 업비트보내서 먹은듯
MIRA,Upbit,2025-10-04,,,,,,,cex_futures,neutral,망따리,"더블제로는 좀 무서워서 보수적으로 플레이했는데, 결과적으로 패인이었네요 리테일 물량이 거진 0이고 마음대로 운전가능한 코인이라 무서워서 그런건데, crime szn에는 그냥 대가리 깨는게 답이네요 레이디움/메테오라만 좀 돌리다가 마지막에 최고점에서 하락할때 마구마구 사지면서 커뮤니티 멤버가 되서 기도하다가 적당히 도망가고 후따리로 겨우 멘징하고 일당만 했네"
OKX,Bithumb,2025-10-29,,,,,,,cex_futures,neutral,보통,OKX 월렛 기능 중 멀티센터에 대해 설명해드림 사용법 잠금화면 풀고 - > More -> 밑으로 내리고 -> Tools 탭에서 Multisender 클릭 또는 chrome-extension://mcohilncbfahbmgdjkbpemcciiolgcge/fullscreen.html#/batch-transfer/home < 클릭 후 크롬에 주소창에 붙여넣기 
MET,Upbit,2025-11-18,,,,,,,cex_futures,neutral,흥따리,그냥 진짜 할거없어서 이런거나 하는중 $MET binance long<>hyperliquid short 1%정도 price gap있었고 하리쪽 스프레드가 꽤 있어서 price gap(100bp)+funding gap(20bp)-스프레드(15*2bp)-수수료(10*2bp)=70bp 적당히 잡았으면 포지션 사이즈대비 50~70bp정도 나왔고(1bp=0.01%)
EVM,Upbit,2025-11-29,,,,,,,cex_futures,neutral,망따리,"업비트 CEX에서 주소 화이트리스트 해둔거 무조건무조건무조건 삭제하고 어드레스 다시 넣으세요 이전 주소에 넣으면 진짜 큰일남 그냥 거의 대부분의 입금 주소가 바뀌는거라서 꼭 체크, 특히 테더 많이 옮기는 앱토스 랑 트론 주소 , EVM 주소 . 거래소 출금 절차때문에 테더 옮기는 주소 화이트리스트 해둔 분들 많을텐데, 이제 그거 누르면 인생 망하는 버튼 으"
"HOLO, TOSHI",Upbit,2025-09-17,,,,,,,cex_futures,neutral,망따리,"오늘도 업빗썸의 상장이 있었습니다
TOSHI
랑
HOLO
상장이었는데 이번에도 좋은 퍼포먼스를 보여줬네요
요 근래 원상 퍼포먼스가 너무 좋은데 이러다가 언제 한번 망따리에 교통사고 당할거 같아서 두렵네요
금일 따리는 외출 나갔다 와서 멀뚱멀뚱단 합류했다가 포모와서 후따리만 좀 해봤는데 인간지표 적립했네요
😂
노션 복기
⤵️
$TOSHI 상장 (Up/Bit)"
"FLUID, HEMI",Bithumb,2025-09-27,,,,,,,cex_futures,neutral,흥따리,"지각생의 9.23, 9.24일 원상 끄적끄적 복기입니다
FLUID가 흥따리였습니다
HEMI는 뭐 평범한 1~2퍼 띠기 따리였는데 빗썸 원상보다는 CZ meta로 인한 hemi의 상승, 바이낸스 상장 쪽을 보는게 더 도움될 것 같다는 생각입니다
크게 길게 작성할만한 내용은 없는 따리몽현들이고, KBW기간동안 지금 원상을 10개를 해서 숙제가 너무 많이 쌓였습"
FLUID,Upbit,2025-09-29,,,,,,,cex_futures,neutral,대흥따리,"FLUID 기출 생각(FLUID도 후펌줬음)나서 바로 업비트 보냄
맛드몽현
업비트 대흥따리로 시작하면 아발란체 dex가가 못따라와서 아발란체에서 호다닥 긁어서 브릿지보내서 업비트보내서 먹은듯"
"BTR, XPL, OP",Bithumb,2025-09-30,,,,,,,cex_futures,neutral,대흥따리,"어제는 대흥따리 2개가 있었네요
어제 같은 따리를 바로바로 올려야 되는데 밀린 숙제가 많아 이전 상장 2개 먼저 올리겠습니다
XPL 상장 당일날(9.25) 빗썸에서 마구잡이 상장 진행한 BTR, POPCAT 복기입니다
크게 복기할만할 거리가 있었던 상장은 아니니 결과정도만 가볍게 숙지하시면 될 것 같습니다
찬찬히 숙제 해결해나가려 했는데 경석/백영 듀오가 "
"MIRA, CUDIS, FLUID",Upbit,2025-10-03,,,,,,,cex_futures,neutral,망따리,"더블제로는 좀 무서워서 보수적으로 플레이했는데, 결과적으로 패인이었네요
리테일 물량이 거진 0이고 마음대로 운전가능한 코인이라 무서워서 그런건데, crime szn에는 그냥 대가리 깨는게 답이네요
레이디움/메테오라만 좀 돌리다가 마지막에 최고점에서 하락할때 마구마구 사지면서 커뮤니티 멤버가 되서 기도하다가 적당히 도망가고 후따리로 겨우 멘징하고 일당만 했네"
"MIRA, SUPER, FF",Upbit,2025-10-05,TGE,,,,,,cex_futures,neutral,흥따리,"SOMI 복기입니다
MIRA-SUPER-FF로 업저씨들 스트레스 테스트 및 설거지 진행 후 하루간의 휴식기 이후 상장된 post-TGE 원상이었습니다
오랜만에 망따리였는데, 솜니아는 여러가지 이유로 참여안한 원상 따리입니다
피곤하기도 했고...
망따리임에도 역시 충분히 복기할 가치가 있던 따리였습니다
업비트나 빗썸이나 퍼포먼스는 비슷했습니다 (둘다 망..."
