case_date,exchange,symbol,profit_pct,market_cap,deposit_amount,best_play,pika_play,good_points,bad_points,lessons,tags,raw_text,source_file,message_id,ts_title,max_premium_pct,hedge_type,network_chain,withdrawal_open,listing_type
2025-11-26,업비트,PLUME,17.94,,50억,['나눠서 팔고 후펌까지 골고루 먹기'],[],['쌩매수 할 때 사이즈 조절한 것 (2.3만불 가량만 트라이함)'],[],[],['업비트'],"25.11.26 따리 복기
#업비트 PLUME 따리 (+17.94%)

*베스트 플레이
  -바로 현선잡기 (5퍼 이하에서)
  -론 플레이 (피카 플레이에선 배제)
  -나눠서 팔고 후펌까지 골고루 먹기

*Pika's 플레이
  -현선이 너무 심해 (30%가량) 쌩매수
  -바이낸스 핫 확인하고 물타기 or 불타기 하면서 평단가 형성
  -업빗 입금액 50억 언더였음
  -GOOD: 쌩매수 할 때 사이즈 조절한 것 (2.3만불 가량만 트라이함)

*현선이 너무 심할 때는 사이즈를 줄이고 천천히 차트를 보며 쌩매수 하는게 최선인 것 같음.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,5,06.12.2025 16:32:46 UTC+09:00,,spot_futures,,,
2025-11-26,빗썸,XION,50.86,,,['차트보고 매수하면서 롱'],['GOOD: 지지선 위에서 매집할 때는 소액 정도만 추가 매집하고 뇌동하여 사이즈 급격히 늘리지 않음'],"['CEX 고점 기회가 꽤나 있었으나 흥할만 하다는 판단으로 전부 빗썸에 가져감', '-GOOD: 지지선 위에서 매집할 때는 소액 정도만 추가 매집하고 뇌동하여 사이즈 급격히 늘리지 않음']",[],[],['빗썸'],"25.11.26 따리 복기
#빗썸 XION 따리 (+50.86%)

*베스트 플레이
  -현선 낮을 때 잡기
  -차트보고 매수하면서 롱

*Pika's 플레이
  -빗썸 상장에 현선 10%는 너무 과하다 생각하여 1차적으로 쌩매수
  -차트 지켜보며 임시 지지선 만들어 해당 선 아래로 올 때마다 추가 매집
  -빗썸 + 생따리는 리스크가 너무 크기 때문에 사이즈 조정하여 플레이
  -CEX 고점에 털지 않고 빗썸에서 약 1-2분간 천천히 나눠 매도
  -GOOD: CEX 고점 기회가 꽤나 있었으나 흥할만 하다는 판단으로 전부 빗썸에 가져감
  -GOOD: 지지선 위에서 매집할 때는 소액 정도만 추가 매집하고 뇌동하여 사이즈 급격히 늘리지 않음",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,6,06.12.2025 16:35:32 UTC+09:00,10.0,spot_futures,,,상장
2025-12-03,빗썸,BOB,31.18,,,['근래 후펌 많이 나오는 추세임으로 매도 타이밍 더 기다렸다가 매도하기 (risky!)'],"['시총 작고 상승세 가파른 것 보고 바로 소액 롱, 상장 후 후펌 즈음에 익절']","['가격에 대한 기준점을 먼저 세워야 쌩매수 판단이 용이하기 때문에 천불이라도 쌩매수하고 물타기나 불타기 시행한 것.', '-GOOD: 활용할 수 있는 시드 최대한 활용하여 공격적으로 플레이하면서도 근거에 의해 판단하고 움직인 것.']",['롱을 좀 더 태워봤어도 되었을지... 다만 이 근거를 내세울 경험치가 아직 부족하기 때문에 재고할 필요 있음.'],[],['빗썸'],"25.12.03 따리 복기
#빗썸 BOB 따리(+31.18%)

*베스트 플레이
  -공지보고 DEX 긁기
  -근래 후펌 많이 나오는 추세임으로 매도 타이밍 더 기다렸다가 매도하기 (risky!)

*Pika's 플레이
  -공지보고 DEX 긁기 (소액 먼저 긁음)
  -현선 없는 것 보고 절반은 현선 쌌다가 가격 상승세보고 헷징 바로 풀어버림
  -불타기하면서 유동성 수치로 가격 변화추이 감시
  -흥따리라고 생각되었을 때 공격적으로 추가 매수하여 0.015선의 평단을 0.0173까지 올려서 쌩으로 준비
  -한 번에 팔지 않고 3-4차례 나누어 매도 (but, 2분 이내에 모두 정리)
  -시총 작고 상승세 가파른 것 보고 바로 소액 롱, 상장 후 후펌 즈음에 익절

*잘한 점 / 못한 점
  -GOOD: 가격에 대한 기준점을 먼저 세워야 쌩매수 판단이 용이하기 때문에 천불이라도 쌩매수하고 물타기나 불타기 시행한 것.
  -GOOD: 활용할 수 있는 시드 최대한 활용하여 공격적으로 플레이하면서도 근거에 의해 판단하고 움직인 것.
  -BAD: 롱을 좀 더 태워봤어도 되었을지... 다만 이 근거를 내세울 경험치가 아직 부족하기 때문에 재고할 필요 있음.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,7,06.12.2025 16:48:45 UTC+09:00,,spot_futures,,,상장
2025-12-03,빗썸,TRAC,27.61,,,['좀 더 홀딩하다가 매도 (BOB와 동일)'],['BOB 때보다 천천히 추세를 보면서 매도했고 원하는 가격이 왔을 때 마지막 정리하며 따리 마무리'],"['과감하게 플레이하되 기준가를 정해놓고 그 아래로만 긁었음', '-GOOD: 현재 장세 + 빗썸의 최근 상장 경향 + 공급 가능 채널 및 입금액 등을 종합적으로 고려하여 따리 시도']",[],['쌩에서 가격 조건 확인할 때는 종합적으로 고려해야할 것들이 많다. 유념할 것.'],['빗썸'],"25.12.03 따리 복기
#빗썸 TRAC 따리 (+27.61%)
250M정도, 입금액 기준가 변경 후 15억, 연기X

*베스트 플레이
  -공지보고 DEX 긁기
  -좀 더 홀딩하다가 매도 (BOB와 동일)

*Pika's 플레이
  -시총이 제법 있었으나 계속 오름세인 것 보고 덱스스크리너 통해 음봉 있을 때만 추가적으로 매수하는 전략 선택
  -초반엔 가격이 계속 상승하여 어려웠으나 0.7 아래까지 매수해도 되겠다고 생각, 과감하게 원하는 사이즈까지 키움
  -BOB 때보다 천천히 추세를 보면서 매도했고 원하는 가격이 왔을 때 마지막 정리하며 따리 마무리

*잘한 점 / 못한 점
  -GOOD: 과감하게 플레이하되 기준가를 정해놓고 그 아래로만 긁었음
  -GOOD: 현재 장세 + 빗썸의 최근 상장 경향 + 공급 가능 채널 및 입금액 등을 종합적으로 고려하여 따리 시도

*추가된 원칙 / 개선할 점
  -쌩에서 가격 조건 확인할 때는 종합적으로 고려해야할 것들이 많다. 유념할 것.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,8,06.12.2025 17:02:15 UTC+09:00,,,,,상장
2025-12-06,빗썸,SAPIEN,5.62,,,['롱 함께 쳐서 펀비 + 사이즈 올리기'],"['전부 빗썸으로 들고가 나눠서 분할 매도, 수익 실현']","['초반에 무지성으로 잡지 않고 관망하는 포지션으로 가격 및 현선 관찰', '-GOOD: CEX 고점에서 팔 수도 있었으나... 최근 빗썸 폼이 좋았기 때문에 근거에 따라 빗썸에 따리']",['원하는 가격에만 매집하기 + 리스키해서 사이즈 더 줄이기를 병행하다보니 사이즈가 너무 작아졌었음. 오히려 롱을 같이 치는 것도 좋은 선택이었을듯.'],[],['빗썸'],"25.12.06 따리 복기
#빗썸 SAPIEN 따리 (+5.62%)

*베스트 플레이
  -2% 초중반 (1시 이후)에 현선잡기?
  -0.175부근에서 지속적으로 쌩매수하기 (결과론적)
  -CEX 고점에서 털기 (망따리 예상)
  -롱 함께 쳐서 펀비 + 사이즈 올리기

*Pika's 플레이
  -펀비 2번 + 현선 3%대 확인하고 관망하기로 결정
  -1시 펀비탐 이후 현선 2% 언더에 싸려고 했으나 오지 않아 잡지 못함
  -저점에서 1차 매수, 이후 임시 지지선 아래에서 지속적으로 추가 쌩매수
  -전부 빗썸으로 들고가 나눠서 분할 매도, 수익 실현

*잘한 것 / 못한 것
  -GOOD: 초반에 무지성으로 잡지 않고 관망하는 포지션으로 가격 및 현선 관찰
  -GOOD: CEX 고점에서 팔 수도 있었으나... 최근 빗썸 폼이 좋았기 때문에 근거에 따라 빗썸에 따리
  -BAD: 원하는 가격에만 매집하기 + 리스키해서 사이즈 더 줄이기를 병행하다보니 사이즈가 너무 작아졌었음. 오히려 롱을 같이 치는 것도 좋은 선택이었을듯.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,9,06.12.2025 17:09:16 UTC+09:00,3.0,spot_futures,,,
2025-12-07,업빗썸,MIRA,13.05,,,['바이낸스 현선잡기 (7%대에도 잡을 수 있었음)'],"['바이낸스 현선 15%이하에서 1차 매집, 10%이하에서 2차 매집 후 20%이상에서 정리']","['온전히 DEX 플레이할 상황이 안되어 최대한 가능한 플레이에 집중하여 리스크 관리 하였음', '-GOOD: MIRA 매집에 실패했다는 것을 인지하고 바로 바이낸스 현선 준비하여 실행']","['소량이라도 과감하게 매집하지 않았음', '-BAD: 컨트랙 브릿지 숙련도가 약간 부족했음']",[],['업빗썸'],"25. 9. 26 따리 복기

#업빗썸 MIRA 따리 (+13.05%)
*베스트 플레이
  -알파 상장 직후 긁기
  -바이낸스 현선잡기 (7%대에도 잡을 수 있었음)

*Pika's 플레이
  -BSC에서 일부 DEX 플레이
  -컨트랙 브릿지 준비
  -바이낸스 현선 15%이하에서 1차 매집, 10%이하에서 2차 매집 후 20%이상에서 정리

*잘한 것 / 못한 것
  -GOOD: 온전히 DEX 플레이할 상황이 안되어 최대한 가능한 플레이에 집중하여 리스크 관리 하였음
  -GOOD: MIRA 매집에 실패했다는 것을 인지하고 바로 바이낸스 현선 준비하여 실행
  -BAD: 소량이라도 과감하게 매집하지 않았음
  -BAD: 컨트랙 브릿지 숙련도가 약간 부족했음

*사이즈 키운 현선 플레이 지속할 것
*컨트랙 브릿지를 모든 상황에 실행할 수 있도록 익혀둘 것",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,18,07.12.2025 09:32:59 UTC+09:00,15.0,spot_futures,BSC,,상장
2024-12-11,빗썸,MOVE,,,,[],[],[],[],[],"['MOVE', 'ME', '그']","작년 12월 첫 TGE 따리 복기입니다.

24.12.11 복기
#MOVE 따리
-DEX 에서 긁어올 때 슬리피지 3%정도 발생했음
   1)슬리피지 감안하기 vs 김프 조금 손해봐도 슬리피지 최소화하기
   2)MOVE의 경우엔 전자가 옳았던 것 같다.
   3)ETH로 매수할 때 훨씬 유동성이 원활하다. (나중에 채워넣더라도 시간 절약됨)
-헷징할 때 발생한 현선갭
   1)헷징은 양펀비라면 조금씩 꾸준히 헷징하는게 물량 모으기 좋다.
   2)현재 봇은 전량매도밖에 못하므로 봇 수정 전까지는 1만불 이하여야 하는듯
-펀딩비
   1)게아오 펀딩비만 80불이 나갔다. 펀딩비 확인 먼저 하고 헷징했어야함

결론 : 
봇 작업 방향할 때 현선갭에 대한 코드를 더 명확히 해야함
api로 헷징 긁은 후 바로 원하는 주소로 보내는 데까지 자동으로 해두면 입금 진행 중에 또 조금씩 물량을 모을 수 있음
빗썸은 원상일 기준 100만원 이하가 절대적으로 빠르니 6-70정도 따발로 쏘는 것도 좋을듯

#ME 따리
-헷징
   1)상장공지~시간공지까지 꾸준히 헷징해두었으면 훨씬 많은 양을 빠르게 따리로 정리할 수 있었다.
   2)후따리를 할 경우 현선갭을 감수해야 해서 수익률이 떨어진다
   3)다 막혔을 때 어느 거래소가 열릴지 모르지 바낸, 바이빗, 게아오 모두 조금씩이라도 준비하는게 좋을 수도 있겠다.
-솔라나 DEX에서 긁는 법도 시도해보면 선택지가 좀 넓어질듯

#그 외
-솔라나
   1)평소 김프가 안끼다가 2%정도 꼈는데 봇 이슈로 헷징이 늦어졌고 결국 김프를 못먹었다. 수정이 시급.
   2)ZETA가 입출금 점검하면 가두리되어 김프가 낀다. 바로 보내도 조금 늦으니 주소를 따놓고 미리 보내놔봐야겠다.
   3)ZETA 가두리 김프는 최대 24시간은 가는 것 같으니 꾸준히 1%이상씩 먹기 괜찮은 것 같다.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,22,08.12.2025 02:04:26 UTC+09:00,,spot_futures,ETH,,TGE
2025-12-09,빗썸,ALLO,-2.03,25M,약 40억,['사이즈 줄여서 플레이하며 경험치 쌓기'],"['더 내린다에 베팅하고 현물 먼저 털고 숏 홀딩(매우 위험, 절대X) 선택했으나 결과적으로는 헷징을 동시에 푸는게 옳았음']","['장 상황 + 현선 흐름 등 망따리 지표가 많아 사이즈를 줄인 것.', '-GOOD: 이미 입장료를 냈기 때문에 이익을 내기보단 손실을 최소화하는 플레이를 하려고 했음.']",['헷징 동시에 풀지 않은 것.'],[],['빗썸'],"25.12.09 따리 복기
#빗썸 ALLO 따리 (-2.03%)
시총 25M, 입금액 약 40억

*베스트 플레이
  -론, 마진 플레이 (피카 플레이에서는 제외)
  -펀비타임 1회 지난 후 현선 잡기
  -사이즈 줄여서 플레이하며 경험치 쌓기

*Pika's 플레이
  -현선 0.5%정도로 형성되어 있어 펀비 맞을 각오로 13시 이전에 현선 잡아버림 (평균 현선 0.6% 가량에 입장)
  -현선갭이 늘지 않고 오히려 더 붙는 추세 + 낮은 시총임에도 오르지 않고 계속 떨어지는 추세여서 추가 진입 X
  -장 상황도 빗썸 테더 일 거래액 1,000억 겨우 넘을 정도로 좋지 않아 1차 보따리 사이즈로만 플레이
  -급작스럽게 봇 이슈로 봇으로는 헷징 못푸는 상황이 생김
  -더 내린다에 베팅하고 현물 먼저 털고 숏 홀딩(매우 위험, 절대X) 선택했으나 결과적으로는 헷징을 동시에 푸는게 옳았음

*잘한 것 / 못한 것
  -GOOD: 장 상황 + 현선 흐름 등 망따리 지표가 많아 사이즈를 줄인 것.
  -GOOD: 이미 입장료를 냈기 때문에 이익을 내기보단 손실을 최소화하는 플레이를 하려고 했음.
  -BAD: 헷징 동시에 풀지 않은 것.

*가능한 헷징은 동시에 풀 것.
*초심자가 경험치 쌓기엔 괜찮은 따리였던 듯.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,32,09.12.2025 17:42:49 UTC+09:00,0.5,spot_futures,,,
2025-12-15,업빗썸,WET,0.13,,,"['따리 투심 활용하여 롱홀딩, 0.28쯤 정리']","['봐야하는 채널이 빗썸, 업비트, 바이빗 선물창 3개이다보니 노이즈가 많았고 집중하지 못했음. 대부분 손절 최소화로 겨우 마무리.']","['선물 불타기 하며 SL 절반 맞춰두고 플레이', '-GOOD: 내가 원하는 지점이 아니더라도 강하게 베팅하는 플레이를 하기로 결정했기 떄문에 현선, 추세 봐가며 현물 추가 매집 진행함 (이익률이 줄더라도 사이즈를 키운다에 포커스)']","['부분익절을 실행하지 못함.', '-BAD: 0.3불이 벽이라고 설정했지만 맞고 횡보하자 과감하게 사이즈 덜어내지 못하였음. 전반적으로 익절 실현의 문제 있음.']","['업빗썸에 들어가는 사이즈가 작아지더라도 부분 이익을 실현하는 것이 더 손익비가 좋았다는 것을 반드시 명심.', '시나리오가 다 들어 맞았으나 제대로 수행하지 못했기 때문에 이건 기계적 플레이 부재 및 뇌동의 문제라고 생각.']",['업빗썸'],"25.12.15 따리 복기
#업빗썸 WET 따리 (+0.13%)

*베스트 플레이
  -바빗현물, 바낸선물 6%대에 헷징하여 현선갭만 먹고 다음 펀비타임 지켜보거나 정리하기
  -상장 공지 직후 0.25 DEX 쌩매수 (risk 커서 지양하는 것이 좋을듯)
  -따리 투심 활용하여 롱홀딩, 0.28쯤 정리

*Pika's 플레이
  -0.19 홀딩하던 롱 두고 추가 매집, 여기서 부분 수익 실현을 못해 손절로 마무리
  -DEX기준 0.3 못 뚫으면 무조건 맞고 떨어질 것으로 생각했으나... 업빗썸 상장에 기대 걸고 현물 익절 못하고 그대로 업빗썸 입금
  -봐야하는 채널이 빗썸, 업비트, 바이빗 선물창 3개이다보니 노이즈가 많았고 집중하지 못했음. 대부분 손절 최소화로 겨우 마무리.

*잘한 것 / 못한 것
  -GOOD: 선물 불타기 하며 SL 절반 맞춰두고 플레이
  -GOOD: 내가 원하는 지점이 아니더라도 강하게 베팅하는 플레이를 하기로 결정했기 떄문에 현선, 추세 봐가며 현물 추가 매집 진행함 (이익률이 줄더라도 사이즈를 키운다에 포커스)
  -BAD: 부분익절을 실행하지 못함.
  -BAD: 0.3불이 벽이라고 설정했지만 맞고 횡보하자 과감하게 사이즈 덜어내지 못하였음. 전반적으로 익절 실현의 문제 있음.

*추가된 원칙 / 개선할 점
  -업빗썸에 들어가는 사이즈가 작아지더라도 부분 이익을 실현하는 것이 더 손익비가 좋았다는 것을 반드시 명심.
  -시나리오가 다 들어 맞았으나 제대로 수행하지 못했기 때문에 이건 기계적 플레이 부재 및 뇌동의 문제라고 생각.

*위 복기엔 분노가 포함되어 있습니다..",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,51,15.12.2025 19:50:59 UTC+09:00,,futures,,,상장
2025-12-16,빗썸,EDEN,-1.68,12M,,['초반에 바이낸스 현선 없을 때 잡고 현선 찼을 때 바로 털고 나가기'],['바낸 현선도 잡았으나... 출금 열리지 않아 손절 엔딩'],"['바낸 핫 물량보고 바로 출금한 것', '-GOOD: 연장 공지 후 물타기']",['현선을 공짜에 잡을 수 있었는데 1% 입장료 내고 잡은 부분 역시 아쉬움'],"['거래대금이 시총보다 우선인 것 같음 (현재 상황으로써는, 빗썸기준)', '당분간 사이즈 더 줄여서 최대한 방어하는 플레이를 하더라도 따리 경험은 계속 쌓을 것', '따리 불장은 반드시 다시 온다']",['빗썸'],"25.12.16 따리 복기
#빗썸 EDEN 따리 (-1.68%)

*베스트 플레이
  -장 상황 고려하여 참여 안하기
  -연장 공지 뜨고 급락했을 때 쌩매수
  -급락지점까지 기다렸다가 분할 쌩매수
  -초반에 바이낸스 현선 없을 때 잡고 현선 찼을 때 바로 털고 나가기

*Pika's 플레이
  -시총 12M, 바낸 핫이 매우 적어 5천불 매수 후 바로 출금
  -DEX 가격 상태 보다가 0.9 언저리에서 지지하며 버티는 것 보고 0.9 아래에서 계속 매수
  -최대한 물타면서 평단 낮췄으나 빗썸 30분 연장 공지에 바로 바닥 뚫고 급락... 일부 추가 매수 했으나 이미 비중이 많이 커져있는 상태였기에 평단에 큰 영향 없었음
  -빗썸 연장에도 불구하고 입금은 더 늘지 않고 DEX가격만 낮게 형성되어 그냥 물린 사람 되어버림...
  -바낸 현선도 잡았으나... 출금 열리지 않아 손절 엔딩

*잘한 것 / 못한 것
  -GOOD: 바낸 핫 물량보고 바로 출금한 것
  -GOOD: 연장 공지 후 물타기
  -BAD: 현선을 공짜에 잡을 수 있었는데 1% 입장료 내고 잡은 부분 역시 아쉬움

*추가된 원칙 / 개선할 점
  -거래대금이 시총보다 우선인 것 같음 (현재 상황으로써는, 빗썸기준)
  -당분간 사이즈 더 줄여서 최대한 방어하는 플레이를 하더라도 따리 경험은 계속 쌓을 것
  -따리 불장은 반드시 다시 온다",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02\messages.html,58,17.12.2025 12:18:57 UTC+09:00,,spot_futures,,True,
