date_ymd,time_hm,channel,topic,key_points,raw_text,source_file,message_id
2025-03-19,15:21,판판펀치,결론,"['Grand Oracle of Knowledge 미션이 Tech Chronicles, Model Optimization, Pawspective 섹션만 해당이니, 해당 섹션 먼저 100SP를 채워서 30 EXP를 각각 얻는게 바람직해보임. 계정당 제출한도가 생겼기 때문에 해당 섹션이 아닌 task에 DP를 제출해 하루에 사용가능한 DP 제출 횟수를 쓰는걸 잘 생각해야함.', 'AI 활용을 잘해서 Persona, Prompt Task를 어지간히 approve 잘 시키는거가 아닌이상, 매일 3exp 미션 노리고 마냥 해당 task들 시도하는 것은 난이도가 높아서  계정당 공유되는 DP제출횟수를 무의미하게 차감할 수 있으니 각자 상황에 맞춰서 전략적으로 DP 제출횟수를 사용해야할거임. 괜히 시도했다가 daily 제출횟수 다 써서 20SP획득 미션도 클레임 못할수도...']","결론
앞서 말했듯 계정당 모든 task에 공유되는 일일 총 제출한도가 생겼기 때문에, 시즌2처럼 그냥 모든 task들 무지성으로 daily limit까지 DP제출하기가 더 이상 안되고, 자기 상황에 맞춰서 전략적으로 접근해야함.

- Grand Oracle of Knowledge 미션이 Tech Chronicles, Model Optimization, Pawspective 섹션만 해당이니, 해당 섹션 먼저 100SP를 채워서 30 EXP를 각각 얻는게 바람직해보임. 계정당 제출한도가 생겼기 때문에 해당 섹션이 아닌 task에 DP를 제출해 하루에 사용가능한 DP 제출 횟수를 쓰는걸 잘 생각해야함.

- AI 활용을 잘해서 Persona, Prompt Task를 어지간히 approve 잘 시키는거가 아닌이상, 매일 3exp 미션 노리고 마냥 해당 task들 시도하는 것은 난이도가 높아서  계정당 공유되는 DP제출횟수를 무의미하게 차감할 수 있으니 각자 상황에 맞춰서 전략적으로 DP 제출횟수를 사용해야할거임. 괜히 시도했다가 daily 제출횟수 다 써서 20SP획득 미션도 클레임 못할수도...",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,14
2025-03-24,14:41,판판펀치,Model Optimization Task들 깨알팁,"['Model Optimization Task들 깨알팁\n\nModel Optimization Task들은 봇방지로 저렇게 객관식 문제를 하나씩 껴놓는데, 선지중에서 대문자로 시작하는 선지가 정답 선지임', '복붙해서 gpt 돌리는 시간에 뇌비워서 대문자로 시작하는 선지 고르면 사하라에 할당할 뇌용량을 좀 비울 수 있음', '사실 대충 문제 읽어봐도 진짜 말 안되는 선지들 가운데 선지 하나만 적합하게 넣어주기 때문에 큰 문제는 없지만, 간혹 헷갈리게 줄때가 있으면 대문자 시작 선지 (대문자가 없다면 숫자로 시작하는 선지 기타등등..) 골라서 풀면 됨']","Model Optimization Task들 깨알팁

Model Optimization Task들은 봇방지로 저렇게 객관식 문제를 하나씩 껴놓는데, 선지중에서 대문자로 시작하는 선지가 정답 선지임.
복붙해서 gpt 돌리는 시간에 뇌비워서 대문자로 시작하는 선지 고르면 사하라에 할당할 뇌용량을 좀 비울 수 있음. 
사실 대충 문제 읽어봐도 진짜 말 안되는 선지들 가운데 선지 하나만 적합하게 넣어주기 때문에 큰 문제는 없지만, 간혹 헷갈리게 줄때가 있으면 대문자 시작 선지 (대문자가 없다면 숫자로 시작하는 선지 기타등등..) 골라서 풀면 됨",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,26
2025-03-25,15:47,판판펀치,Review Task 미세팁,"['Review Task 미세팁\n\nReview 걸리면 보통 짜증나는게 다른 사람들(annotator)이 제출한 DP가 있어야 리뷰작업을 할 수 있는데, 이게 시즌 후반가면 갈수록 경쟁이 치열해져서 리뷰 DP 배정받기가 힘듦', '그래서 All data points have been reviewed만 뜨고 빨리 리뷰 못하는 경우가 많은데, 지금까지의 경험으로는 개인적으로 저렇게 Task 창이랑 Working 창 녹화한 gif처럼 창 왔다갔다하는게 제일 빠르고 편하게 DP 잡는법 같음', 'Review 버튼 활성화 안되어 있어도 링크상에서 sahara-data 부분 working으로 바꿔서 왔다갔다 하면댐\n예시)\nhttps://app.saharalabs.ai/#/individualLabeler/sahara-data/~~~\n→ https://app.saharalabs.ai/#/individualLabeler/working/~~~']","Review Task 미세팁

Review 걸리면 보통 짜증나는게 다른 사람들(annotator)이 제출한 DP가 있어야 리뷰작업을 할 수 있는데, 이게 시즌 후반가면 갈수록 경쟁이 치열해져서 리뷰 DP 배정받기가 힘듦. 
그래서 All data points have been reviewed만 뜨고 빨리 리뷰 못하는 경우가 많은데, 지금까지의 경험으로는 개인적으로 저렇게 Task 창이랑 Working 창 녹화한 gif처럼 창 왔다갔다하는게 제일 빠르고 편하게 DP 잡는법 같음. 물론 더 좋은 방법이 있을 수 있음..

Review 버튼 활성화 안되어 있어도 링크상에서 sahara-data 부분 working으로 바꿔서 왔다갔다 하면댐
예시)
https://app.saharalabs.ai/#/individualLabeler/sahara-data/~~~
→ https://app.saharalabs.ai/#/individualLabeler/working/~~~",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,30
2025-06-26,12:58,판판펀치,사하라 준비해보기,"['거래소 상장시간 관련', '비들패드 클레임 관련', '테스트넷 클레임 관련', '브릿지 관련', '주의사항']","사하라 준비해보기

CA (ETH, BSC)
0xFDFfB411C4A70AA7C95D5C981a6Fb4Da867e1111

0. 거래소 상장시간 관련
> 하단의 채널 글 보시면 가독성 좋을 듯
> https://t.me/SUS_secretnote/4595

1. 비들패드 클레임 관련
> ETH 체인으로 클레임 가능할 듯
> 바낸 계정 연결 이유는 바낸에서 ETH랑 BNB 둘다 받아줌

2. 테스트넷 클레임 관련
> 이건 BNB 체인으로 클레임
> 혹시나 모를까봐 클레임 시 추가 수수료가 있음(가스비 말고)
> 이거 관련해서는 하단의 FAQ 참조

3. 브릿지 관련
> 저는 Relay아니면 Portal 쓸 것 같음
> https://www.relay.link/bridge
> https://portalbridge.com/

4. 주의사항
> 브릿지 사고 조심 (환불, 네이티브 여부 등등)
> 위의 사항과 다른 루트 or 새로운 정보 있을 땐 빠르게 하시길
> 테스트넷 할당자 반드시 BNB 추가 클레임피 체크

글로벌 동시상장 30분 이후 업빗썸 상장인데 갭도 고민해보면 좋겠음. 이런거 전략구상해서 해보고 안해보고 천지차이임. 야핑이랑 비슷한건데 안하는 사람은 끝까지 안함(본인 저격임)",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,58
2025-09-16,21:00,판판펀치,"$AVNT 상장(Up,Bit,Binance)","['거래 지원: 2025.09.15 14:00 예정', '체인: Base', '현선 4~5퍼 까지 벌어졋다가 0.5~1퍼대 유지', '거래 지원: 2025.09.15 14:00 예정', '체인: Base', '거래 지원: 2025.09.15 14:00 예정', '출금지원 예정: 2025.09.15 15:00 예정', '업비트의 견제시작 (거래시점 30분 앞당김) - 거래 지원: 13:30 (수정)', '*빗썸 수정공지는 기타 공지방(대표적으로 새우잡이어선 공지방) 등에 뜨지만 업비트 수정공지는 못잡아줌. 업비트는 공식 텔그방 알람 켜둘것. *', '빗썸 헐레벌떡 기싸움 수정공지']","$AVNT 상장(Up,Bit,Binance)

타임라인
2025.09.15 11:30 - 😇 업비트 $AVNT 상장 공지
- 거래 지원: 2025.09.15 14:00 예정
- 체인: Base
- 현선 4~5퍼 까지 벌어졋다가 0.5~1퍼대 유지
2025.09.15 12:04 - 😆 빗썸 $AVNT 상장 공지
- 거래 지원: 2025.09.15 14:00 예정
- 체인: Base
2025.09.15 12:47 - 😁 바이낸스 $AVNT spot 상장 공지  
- 거래 지원: 2025.09.15 14:00 예정
- 출금지원 예정: 2025.09.15 15:00 예정
2025.09.15 13:11 - 😇 업비트 $AVNT 거래지원 개시 시점 변경 공지
- 업비트의 견제시작 (거래시점 30분 앞당김) - 거래 지원: 13:30 (수정)
- *빗썸 수정공지는 기타 공지방(대표적으로 새우잡이어선 공지방) 등에 뜨지만 업비트 수정공지는 못잡아줌. 업비트는 공식 텔그방 알람 켜둘것. *
2025.09.15 13:14 - 😆빗썸 $AVNT 거래지원 개시 시점 변경
- 빗썸 헐레벌떡 기싸움 수정공지
- 거래지원: 13:30 (수정)
- 수정 공지 당시 빗썸 입금액 약 6억원
- 업비트 거래시점 수정 공지 이후부터 현선 다시 벌어지기 시작. 3~5퍼대 현선.
2025.09.15 13:30 - 😇😆 업빗썸 입금량
- 업비트: 110억 가량
- 빗썸: 22억 가량
2025.09.15 13:35 - 😇😆 업빗썸 거래 시작
- 업비트
    - 1초봉 H:1690
    - 매도봇 돌렷어야 최상의 플레이
    - 상남자식 생따리 엿으면 많이 먹었을듯(운빨)
- 빗썸
    - H:1671
- 둘다 6~8% 정도 1분봉기준 김프
- 1분봉 따리 못먹은사람들 바낸 따리하러 회군
    - 안빼주다가 13:56 쯤에 빼주기 시작
    - 역프 구간 돌입
2025.09.15 14:00 - 😁 바낸 spot 상장
- 1초봉 H:1.4 
- 딱히 프리미엄 없음
2025.09.15 14:00 ~ 이후 
- 미친 후펌으로 1.5불까지 찍고 내려옴
- 숏 헷징치고 안푼사람들 모두 덤프트럭에 교통사고
- 따리의 영역보단 매매의 영역이라 그냥 간략하게만 타임라인 작성


특이사항
- 업비트 의문의 상장들 공통점 : ""피터틸의 Founders Fund, 리드 투자"" (출처: 돈포하 채널  참조)
- FLOCK에 이은 코베/베이스 관련 픽 상장
- 상장전에 이미 많이 올랐다고(유?출) 생각했는데 더 올림..

후기
- 매도봇 안돌리고 멍때리다가 별로 이득못봄",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,124
2025-09-16,21:43,판판펀치,$ZKC 상장 (Up/Bit/Binance),"['BNB Smart Chain', 'Ethereum', 'Base:', 'Wormhole', '이외에 다른것도 있긴했음(생략)', '거래 지원: 2025.09.15 23:00 예정', '체인: ETH, BNB', 'Alpha 물량 인당 90ZKC', '체인: ETH', '거래 지원: 2025.09.15 23:00 예정']","$ZKC 상장 (Up/Bit/Binance)

토큰 총 공급량 1B / 초기 유통량 200M 가량
- BNB Smart Chain
0x15247e6E23D3923a853cCf15940A20CCdf16e94a
- Ethereum
0x000006c2A22ff4A44ff1f5d0F2ed65F781F55555
- Base:
0xAA61bB7777bD01B684347961918f1E07fBbCe7CF
프리마켓은 Whales Market만 존재

브릿지 
- Wormhole
- 이외에 다른것도 있긴했음(생략)

타임라인
2025.09.12 - 😁 Binance $ZKC Spot 상장 공지 
- 거래 지원: 2025.09.15 23:00 예정
- 체인: ETH, BNB
2025.09.15 18:04 - 😁 Binance Wallet 공지: $ZKC Alpha 거래시작 21:30
- Alpha 물량 인당 90ZKC
2025.09.15 18:25 - 😇 업비트 $ZKC 상장 공지
- 체인: ETH
- 거래 지원: 2025.09.15 23:00 예정
2025.09.15 18:35 - 😆 빗썸 $ZKC 상장 공지
- 체인: ETH
- 거래 지원: 2025.09.15 23:00 예정
2025.09.15 20:58 가량 - Kaito 디코 공지
- $ZKC에 대한 세부 정보를 곧 공유해 드릴 예정이니 계속 지켜봐 주세요. 현재는 가스비로 이더리움 네트워크에 $ETH를 충전할 수 있습니다
2025.09.15 21:23 - 😁 Binance Alpha 거래 시작
- 21:30분 상장이라고는 하지만 살짝 더 빨리 거래 시작하는경우가 있어서 미리 대기타고 있었는데 생각보다 거래 시작을 빨리함
- Liq 약 3.26M
- 2불 터치후 21:30분 바낸 알파 클레임 매도 압력으로 1.5라인까지 하락 (베스트 매집 타이밍)
- 1.5~1.6에서 매집 타이밍을 많이줌
- ** 재밌는거
    - 0xC06a306CfA4Cb2AcfC9e9F3740EBfb69D670969C
    - 해당 지갑이 팬케이크 스왑 풀 만들어지고 팀에서 유동성 넣어주는거 봇돌려서 스나이핑으로 잔뜩 긁음
2025.09.15 21:50 - 🍪 ETH dex pool
- liq는 당연하지만 bsc풀보다 부족해서 조심했어야함
- 슬피 고려해서 중간중간 ZKC(eth)가 더 싼 경우가 있었기 때문에 수량 모을때 브릿지 안해도 되게 eth에서 조금 매집햇어도 괜찮앗음.
- 다만 ETH → BSC 브릿지는 18분 걸린다는 말보고 시도는 안해봄
2025.09.15 22:09 - 에어드랍 물량 클레임 시작
- 야핑/프로버 에드 물량
- 카이토 런패 물량은 아직 안풀림
2025.09.15 22:00 중후반경 - 브릿지 상태 메롱
- 웜홀 route가 2개 정도 있었는데 10시 중후반 부터 bsc → eth 브릿지 상태가 메롱해지기 시작 (대부분의 브릿지 트잭이 안보내짐)
    - 하나는 스왑비가 다르고
    - 하나는 거진 1:1 비율 but Mayan으로 가면 감옥에 갇힘
    - 필자도 생각없이 보냈다가 40분가량 쳐묶임 (환불은 또 테더로 해줘서 시간러그 + 손해봄)
    - 브릿지 10~20분 지나도 갈 기미가 안보이길래 ETH dex 달려가서 매수해서 보냄
    - 브릿지 상태 메롱 + 아직까지 카이토 런패 클레임 공지 X → 상장 강행한다면 미친 대흥따리 예감
2025.09.15 22:30 - 😁 Binance Boundless(ZKC) Future/Margin 공지 
- 거래 지원: 2025.09.15 23:00
2025.09.15 23:00 - 😁 Binance 거래 시작 (Spot/Futures)
- H:1.8 이후 하락 1.4~1.5 부근대 유지
- 현선 15퍼 ~ 출금 안열어서 천천히 현선 잡히기 시작
2025.09.15 23:05 - 😇😆업빗썸 거래 시작
- 22:50 기준 입금량
    - 업비트 대략 46억
    - 빗썸 대략 10억
- 22:55 - 😇 업비트 매도 최저가 기준 업데이트 (상장 강행)
    - 상장 강행 이후 🍪 dex $ZKC 가격 1.",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,126
2025-09-30,17:52,판판펀치,반갑읍니다 행님들.,"['OPENMIND 한국 공지방에 입장합니다.', 'OPENMIND 한국 채팅방에 입장합니다.', '채팅방에 인사를 남겨주세요.', '구글폼을 작성해주세요.', '09. 30 (18:00) ~ 2025. 10. 05 (19:00)', 'BBQ 황금 올리브 치킨+콜라1.25L : 20명 추첨', '스타벅스 아이스 아메리카노 T: 100명 추첨']","반갑읍니다 행님들.
OPENMIND 한국 커뮤니티. 처음 인사 올립니다.

KBW를 기점으로 OPENMIND가 한국 커뮤니티를 본격적으로 만나기 위하여 여러분과 함께할 특별한 커뮤니티 이벤트를 준비했습니다

🤖OPENMIND란?
OPENMIND는 ""Linux on Ethereum for robotics""라는 개념으로, 지능형 기계를 위한 탈중앙화 운영체제를 개발합니다.
로봇 기종에 관계없이 사용 가능한 OM1 운영체제와 FABRIC 통신 프로토콜을 통해 다양한 로봇들이 하나의 생태계에서 소통할 수 있게 합니다. AI와 DePIN(탈중앙화 물리 인프라)을 결합한 블록체인 기반 로봇 생태계로, 기존 중앙집중식 시스템을 넘어선 분산형 로봇 네트워크를 구현하고 있습니다.
참여방법 

1. OPENMIND 한국 공지방에 입장합니다.
2. OPENMIND 한국 채팅방에 입장합니다.
3. 채팅방에 인사를 남겨주세요.
4. 구글폼을 작성해주세요.

참여 기간
2025. 09. 30 (18:00) ~ 2025. 10. 05 (19:00)

이벤트 보상
- BBQ 황금 올리브 치킨+콜라1.25L : 20명 추첨
- 스타벅스 아이스 아메리카노 T: 100명 추첨",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,158
2025-10-02,20:07,판판펀치,1. DoubleZero의 기본 토큰 이름은 무엇입니까?,"['DoubleZero의 기본 토큰 이름은 무엇입니까?', 'SEC가 2Z 토큰에 대해 발행한 것은 무엇입니까?', '더블제로의 핵심 미션은 무엇입니까?', '기여자들이 왜 광섬유 링크를 더블제로 네트워크에 추가합니까?', '더블제로의 공정한 보상 분배를 가능하게 하는 알고리즘은 무엇입니까?', '2025년 10월 2일 기준, 솔라나 스테이킹 비중의 몇 %가 더블제로 네트워크에 연결되어 있었습니까?', '더블제로가 메인넷-베타를 출시한 시점은 언제입니까?', '더블제로 네트워크에서 2Z 토큰은 어떻게 인센티브 역할을 합니까?', '아래 중 더블제로의 잠재적 활용 사례가 아닌 것은 무엇입니까?', '다음 중 더블제로의 기여자로 나열된 회사는 무엇입니까?']","1. DoubleZero의 기본 토큰 이름은 무엇입니까?

✅ 2Z

2. SEC가 2Z 토큰에 대해 발행한 것은 무엇입니까?

✅ 비조치의견서(No-Action Letter)

3. 더블제로의 핵심 미션은 무엇입니까?

✅ 대역폭 증가, 지연 감소 (IBRL)

4. 기여자들이 왜 광섬유 링크를 더블제로 네트워크에 추가합니까?

✅ 자신들의 기여 가치에 따라 2Z 토큰 보상을 받기 위해

5. 더블제로의 공정한 보상 분배를 가능하게 하는 알고리즘은 무엇입니까?

✅ 셰플리 값(Shapley Value)

6. 2025년 10월 2일 기준, 솔라나 스테이킹 비중의 몇 %가 더블제로 네트워크에 연결되어 있었습니까?

✅ 21%

7. 더블제로가 메인넷-베타를 출시한 시점은 언제입니까?

✅ 2025년 3분기

8. 더블제로 네트워크에서 2Z 토큰은 어떻게 인센티브 역할을 합니까?

✅ 네트워크 기여자들에게 보상으로 지급된다

9. 아래 중 더블제로의 잠재적 활용 사례가 아닌 것은 무엇입니까?

✅ 가정용 인터넷 연결

10. 다음 중 더블제로의 기여자로 나열된 회사는 무엇입니까?

✅ 갤럭시(Galaxy)",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,161
2025-10-02,23:03,판판펀치,"더블제로로 리스크 감수를 줄이고, 돈버는방법정리","['메테오라풀설정', '하리<>binance 갭', 'backpack spot출금따리']","더블제로로 리스크 감수를 줄이고, 돈버는방법정리

1. 메테오라풀설정

정말 잘 모르는 분야이지만, 이번에 잘하는 사람들보면서 많이 배웠는데
낮은 가격에라도, 메테오라 풀 설정 잘해놓고, 체결시켰으면 괜찮았던것 같음

2. 하리<>binance 갭
7~9%정도 갭이 3분동안 유지되었고, 오더북도 빵빵레후 였음
그이후에, 3~4%갭이 15분동안 꽤 오래유지되어서, 잡기에 정말괜찮았음
indexprice도 바이낸스 현물추종인거 확인후, 진입했음

하리공지방 텔레그램이, 트위터알림보다 30초정도 빨리와서, 꼭 알림켜두는거 추천

3. backpack spot출금따리
backpack spot가격이 dex보다 15%정도 낮아서, 선물헷지후, 따리했어도 괜찮았음",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,163
2025-10-17,18:18,판판펀치,ZEROBASE (ZBT),"['ZEROBASE (ZBT)\n\n바이낸스 알파 상장: 9월 30일 20:00시 추정(한국시간 기준)\n업비트 상장 시간: 9월 30일 22:00시(한국 시간 기준)\n\n총 토큰 공급량:1B\n상장 시 유통량:220M (총 토큰 공급량의 22%)\n\n웨일즈 마켓에서 0.55불에 거래중\nMC : 121M\nFDV : 550M\n\nCA\nETH,BSC 0xfAB99fCF605fD8f4593EDb70A43bA56542777777\n\n코멘트\n동일한 CA이고 BSC,ETH 밖에 없는듯\n생각하지도 못했던 코인이 상장 해버려서 저도 좀 얼떨떨한데\n그래도 츄라이 해볼만한듯\n플레이는 여러방법이 있을듯\n갭잡기모드 해봐도 되고 순수 따리해봐도 되고 등등 많음\n하지만 본인만의 기준을 어느정도 정하고 플레이 하는것을 추천함\n\n이 글은 알아내는 정보대로 수정 해드릴예정']","ZEROBASE (ZBT)

바이낸스 알파 상장: 9월 30일 20:00시 추정(한국시간 기준)
업비트 상장 시간: 9월 30일 22:00시(한국 시간 기준)

총 토큰 공급량:1B
상장 시 유통량:220M (총 토큰 공급량의 22%)

웨일즈 마켓에서 0.55불에 거래중
MC : 121M
FDV : 550M

CA
ETH,BSC 0xfAB99fCF605fD8f4593EDb70A43bA56542777777

코멘트
동일한 CA이고 BSC,ETH 밖에 없는듯
생각하지도 못했던 코인이 상장 해버려서 저도 좀 얼떨떨한데
그래도 츄라이 해볼만한듯
플레이는 여러방법이 있을듯
갭잡기모드 해봐도 되고 순수 따리해봐도 되고 등등 많음
하지만 본인만의 기준을 어느정도 정하고 플레이 하는것을 추천함

이 글은 알아내는 정보대로 수정 해드릴예정",C:\Users\user\Downloads\Telegram Desktop\ChatExport_2026-02-02 (3)\messages.html,192
