date,symbol,exchange,play_type,entry_condition,exit_condition,result_pct,result_label,notes,raw_text
2022-05-25,YFII,,기타,,,,,,선물 갭 먹을 줄 아는 사람 펀비 이자 농사도 됨 BingX YFII SHORT FTX YFII LONG (BINGX:YFIIUSDT-FTX:YFIIPERP) /FTX :YFIIPERP*100 빙X 가입 및 송금 3분 컷 궈퍼럴 | 꼬퍼럴 #디파이
2022-10-01,FTX,,김프,,,20.0,보통,,"""아비트리지(arbitrage)란 무엇인가"" 0. 개요 [FTX 창업자 ""3년간 암호화폐 거래로 순자산 100억 달러 모았다""] 코인텔레그래프에 따르면 알라메다 리서치, FTX 창업자 샘 뱅크먼 프라이드가 뉴욕 매거진인터뷰에서 지난 3년간 주로 암호화폐 아비트리지(차익거래)를 통해 거액을 모았으며, 자신의 순자산이 100억 달러 정도에 이른다고 밝혔다. 월"
2022-11-28,,,기타,,,,,,대고수 블로거 ForRich님이 챙겨보는 텔방이라고 해주셨어요..💕 📌 블로그글 목록에 있는 다들 잘 아시는 텔레그램 ✅ 📌 치코띠 / 갓PASA / 코같투좌 📌 챙겨보는 블로거 목록 [이웃 알람 추천] ✅ https://blog.naver.com/pumping77- https://blog.naver.com/yunsbang https://blog.naver
2022-12-27,GMX,,에드작,,,,,,"Oero, SwapFish 등 요즘 아비트럼에 나오는 덱스들의 초반 성적이 매우 좋습니다. 근시일 내에 나오는 아비트럼 덱스들 중 개인적으로 관심있게 지켜보는 것들입니다. 1️⃣ Dictum Exchange 어제 올려드렸던 솔리들리 포크입니다. GMX 등 기존 생태계 참여자들에게 에드 뿌리면서 관심도 챙겼고, 에드 물량은 1년 베스팅으로 묶어버리면서 초반 "
2023-03-21,,,에드작,,,,,,👀 에어드랍으로 7000만원~ 3억7천까지 먹어본 에어드랍헌터들 에어드랍받아서 적게는 7000만원부터 크게는 3억7천까지 먹어본 헌터들이 있습니다. 6개의 지갑들을 추적해서 따라해보다보면 우리도 먹을 수 있지 않을까요? 👍지갑주소 3억 7천 만원 - 0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d 3억 2천 만원 -0x11B17
2023-03-23,AEGIS,,에드작,,,5.0,,,📶 AEGIS $AEG 토큰 세일 에어드랍 WL 모집 일전에 소개드린 아비트럼 네이티브 DEX를 노리는 AEGIS $AEG 토큰세일이 진행중입니다. 풀캡목표는 380만불이라는 원대한 꿈이 있지만 아직 10만불도 모이지 않았네요. *미판매 분량은 모두 소각된다고 합니다. 런치패드 주소: https://app.aegis.exchange/launched 만약 세
2023-04-03,,,에드작,,,,,,🔥Airdrop 정리 그냥 제가 트잭 찍거나 하면서 정리 해놓는 docs 공유드립니다. 혹시 같이 추가/수정 하실분 있으시면 권한 드릴게요 링크
2023-04-04,,,에드작,,,,,,"📹 레이어제로 에어드랍 전략 상세 영상 솔직히 안 줬으면 좋겠지만 ! 줄 가능성이 높으니 그래도 공유! 보러가기: https://www.youtube.com/watch?v=O0Ul1XNNyFc 레제로 공략하실 때, 대부분 공유하지 않은 작업 가이드 도 한 번 써보시라고 가이드 공유드립니다. 혹시나 기준으로 분류한다면, 이 작업으로 받을 수 있을듯? 작업 자"
2023-04-04,,,에드작,,,,,,"🪂 스타크넷 기반 롱숏롱숏 거래소 래빗엑스 에어드랍 -투자사: 멀티코인 / 세콰이아 / 패브릭 등 -출처: 클릭 다음주 월요일까지 사용량 기반으로 에어드랍 해준다고 함. 하실 분들은 고고. 엑세스 코드라고 쳐야 하는데, backthebunny 치시면 됩니다. 실제 돈이 들어가는거니 고민해보고 하시길!"
2023-04-05,,,에드작,,,,,,https://www.breadcrumbs.app/ 다계정/에어드랍 작업하실때 지갑간 교류 확인해 볼수 있습니다
2023-04-05,IDO,,에드작,,,50.0,,,📢신규 DeFi 정보 공유 Monopoly Finance ( https://monopoly.finance ) 네트워크: Arbitrum 종류: 일드파밍 (Layered) 런칭: 4월 8일 토요일 한국시간 오후 9시 트위터: https://twitter.com/Monopoly_Fi 텔레그램: https://t.me/MonopolyFinancechat Docs
2023-04-05,SNS,,에드작,,,,,,🗺Monopoly Finance 에어드랍 1. SNS 참여 에어드랍 - 상금: 200명에게 각 1 $MONO ($5 가치) 에어드랍 - 방법 ㄴ https://twitter.com/ARBInsider 팔로우 ㄴ https://twitter.com/Monopoly_Fi 팔로우 ㄴ https://twitter.com/ARBInsider/status/164251
2023-04-06,,,에드작,,,,,,"📕 지갑간 트랜잭션 시각화 툴 추천 📌  왜 필요한가요? 1️⃣ 아비트럼 및 각종 에어드랍 및 이벤트에 빠지지않는 다계정이슈. 특정 개인지갑간 자금이동이 주기적이나 패턴화 되어 확인된다면 Sybil(다계정)으로 판명되어 각종 에어드랍에서 배제될 수 있습니다. 명확한 Sybil에 대한 기준은 프로젝트마다 다르지만, 미리 지갑간의 연결을 끊은 채 에드작업을 진"
2023-04-13,VIP,Gate,에드작,,,,,,게아오 신규가입 추가이벤트 게아오 VIP 이벤트 참여때문에 신규가입 하신 분들은 아래 두가지 이벤트 같이 챙기는게 좋을 것 같아 공유합니다! 돈드는거 없음 게아오 VIP 이벤트 정리글 1) 증정금 이벤트 - 신규가입 후 500달러 이상 예치시 100USDT 증정금 - 첫 예치 자산만 해당 - 예치 자산은 7일 이내 인출 금지 - 거래량에 따른 증정금도 있지
2023-04-14,MEXC,,에드작,,,,,,♥️ 아지트 무료 에어드랍 이벤트 총200명당첨 보상: 10$ MEXC 아지트 입금주소 캡쳐하고 구글폼 입력하기만 하면 되네요~ 구글폼 제출 (mexc azit 클튼네트워크주소임당) ⏱4/20(목요일) 09:00 마감
2023-04-14,,Binance,기타,,,,,,"당장 어제를 포함해, 지난 2주 동안 많은 VC들이 브릿지를 통해 돈을 옮겨와 Ronin을 Spot buy하여 $RON의 가격이 오르고 있습니다. 작년, 엄청난 규모의 자금을 해킹당한 엑시의 Ronin Network 는 바이낸스 와 Paradigm 그리고 a16z 로 부터 $150M 의 복구 펀드를 받기도 했습니다. Ronin의 DPOS전환 이후 스테이킹 "
2023-04-16,ARBDOGE,,에드작,,,,,,"☑ 4불 공짜 밈토큰 받기 - ARBDOGE 현재  ARBDOGE 토큰 에어드랍을 진행하고 있습니다. 사이트 들어가셔서 클레임하시면 토큰 받을 수 있으며, 유니스왑 DEX에 상장되어있어서 바로 USDC 스왑이 가능합니다. 링크 <- 들어가신 후에 토큰 클레임하시고, (아비트럼 체인) 유니스왑 <- 들어가셔서 0x09E18590E8f76b6Cf471b3cd7"
2023-04-16,SUI,,상장분석,,,,,,"💧 SUI 프라이빗 세일 들어간 후기: 애매하다. 저는 GCR이라는 인베스트먼트 다오를 통해서 SUI의 프라이빗 세일을 들어갔으며 솔직한 후기를 담아봤습니다. 1️⃣ 더럽게 비싸게 삼. OKX에도 공시가 되었듯이 프라이빗 세일 단가가 퍼블릭 세일 단가보다 세배($0.3) 나 높고, 베스팅 스케쥴도 상당히 늦다. *이거는 아직 수이가 공개하지 않아서 공시되면"
2023-04-17,OKX,,에드작,,,,,,"[sui코인 토큰출시! OKX에서 수이코인 획득하는 방법] https://blog.naver.com/mp2015/223075747837 <요약> - OKX 점프스타트라는 바낸 런치패드와 거의 흡사한 프로그램으로 SUI코인 티켓 획득 가능 - 1SUI당 0.1$로 구매 가능 - OKB 하나당 티켓 4장 지급, 티켓 1장 당첨 당 100SUI 구매 가능 - 1"
2023-04-17,,Upbit,기타,,,4.0,,,"🔹 업비트에서 이더리움 스테이킹 샤펠라 이후 변화 어찌보면 CEFI라고 할 수 있는 업비트 이더리움 스테이킹, 이제 샤펠라 업그레이드 후에 입출금이 좀 더 자유로워졌습니다. 다만, 16시간의 유효성 검증, 언스테이킹 출금대기 3일 등의 불편함은 존재하기에 즉각 매매에는 부적합 합니다. 장투 물량은..음 석우네가 웬만한 곳보다 안전하니 나쁘지 않을 것 같습니"
2023-04-17,AIDOGE,,에드작,,,,,,"📶 AIDOGE 에어드랍, MEXC 상장 클레임 링크: 클릭 보안 위험이 있을까봐 얘기 안했다가 MEXC에서 상장하길래 클레임 후 저기서 팔면 문제 없을 것 같아서 소개! $ARB 에어드랍 받은 지갑은 클레임 가능. 현재 치킨 한 마리 값 정도 나온다고 하네요. 딱히 보안에 있어서 FIRE나 RABBY에서 문제는 뜨지 않았습니다. 저는 그래도 혹시나 싶어 "
2023-04-20,AMA,Upbit,기타,,,,,,"📕 마스크네트워크와 함께하는 제 2회 AMA DU Festival 및 런투언(L2E) 이벤트 🔎 Web3 소셜 네트워크 인프라 프로젝트, 마스크네트워크(Mask Network)에서 업비트 회원님들을 위한 AMA 및 L2E 이벤트를 진행합니다. 🧸 총 상금: $100,000 상당의 마스크 ✅ 참여방법 1. 이벤트 세컨블록 참여 2. 중앙 5대의 모니터에서 컨"
2023-04-20,AZIT,,에드작,,,,,,AZIT 에어드랍 완료 지난주 목요일 MEXC AZIT 이벤트 신청하신분들 100아지트 들어왔네요. 200명이라 거의 다 받으셨을듯? 10초 급여가 1.9만원! 아지트는 이제 GASC만 오픈하면 된다! * 그런데 이벤트 마감이 내일인데 들어왔네요? * 10달라 준다해놓고 14달라 줬네요..? #AZIT
2023-04-20,NFT,,에드작,,,10.0,,,"$rice 에어드랍 AIdoge와 마찬가지로 Arb 에어드랍 받은사람만 클레임 가능. NFT 1개와 $rice 1000개 주는데, 지금가격으로는 1500원정도지만 혹시또 모르니 클레임하시면 될것같네요. 클레임 링크 (레퍼럴, 10%보너스) 이번엔 100배쏘기전까지 안팝니다 진짜 스왑 링크 (카멜롯)"
2023-04-20,,,에드작,,,,,,현재가치 약 7불정도 되네요. 1만원 에어드랍 참여하시길 아비트럼 에드 받은지갑만 참여 가능합니다. 참여 링크 클레임 안된다네요..
2023-04-20,NAODA,,에드작,,,,,,"🔥 NAODA - POAP 받기 - 참여형 게임파이 플랫폼, 올해 토큰 런칭 예정, 무료 POAP 청구 가능 ➡️ 간단 계정 생성 레퍼럴 : f3e87e656fd2441dbf72f136565bf49d 2️⃣ POAP 수령 - 맨 밑에 Polygon PAOP는 4월 26일 이전 가입 만 받을 수 있음 (공식 트윗 에서 언급할 정도면 토큰 에드 관련 뭔가 있을"
